PSRAID,COUNTRY,Q145,Q146,Q70,Q74
100000,Ethiopia,Female,35,No, 
100001,Ethiopia,Female,25,No, 
100002,Ethiopia,Male,40,Don’t know, 
100003,Ethiopia,Female,30,Don’t know, 
100004,Ethiopia,Male,22,No, 
100005,Ethiopia,Male,40,No, 
100006,Ethiopia,Female,20,No, 
100007,Ethiopia,Female,18,No,No
100008,Ethiopia,Male,50,No, 
100009,Ethiopia,Male,35,No, 
100010,Ethiopia,Female,20,No, 
100011,Ethiopia,Female,30,Don’t know, 
100012,Ethiopia,Male,60,No, 
100013,Ethiopia,Male,18,No, 
100014,Ethiopia,Male,40,No, 
100015,Ethiopia,Male,28,Don’t know, 
100016,Ethiopia,Female,55,Don’t know, 
100017,Ethiopia,Male,30,Don’t know, 
100018,Ethiopia,Female,22,No, 
100019,Ethiopia,Male,40,No, 
100020,Ethiopia,Male,38,No, 
100021,Ethiopia,Female,27,Don’t know, 
100022,Ethiopia,Male,27,No, 
100023,Ethiopia,Male,22,No, 
100024,Ethiopia,Male,40,No, 
100025,Ethiopia,Female,22,No, 
100026,Ethiopia,Female,32,No, 
100027,Ethiopia,Female,28,Don’t know, 
100028,Ethiopia,Female,18,No, 
100029,Ethiopia,Male,52,No, 
100030,Ethiopia,Female,48,No, 
100031,Ethiopia,Male,32,No, 
100032,Ethiopia,Female,30,No, 
100033,Ethiopia,Male,50,No, 
100034,Ethiopia,Male,47,No, 
100035,Ethiopia,Male,19,No, 
100036,Ethiopia,Male,49,No, 
100037,Ethiopia,Male,38,No, 
100038,Ethiopia,Male,33,No, 
100039,Ethiopia,Female,50,Don’t know, 
100040,Ethiopia,Female,30,Don’t know, 
100041,Ethiopia,Female,62,Don’t know, 
100042,Ethiopia,Female,18,No, 
100043,Ethiopia,Female,48,No, 
100044,Ethiopia,Male,42,No,No
100045,Ethiopia,Female,35,No, 
100046,Ethiopia,Female,19,Don’t know, 
100047,Ethiopia,Male,18,No, 
100048,Ethiopia,Male,62,Don’t know, 
100049,Ethiopia,Female,25,No, 
100050,Ethiopia,Female,50,Don’t know, 
100051,Ethiopia,Female,50,No, 
100052,Ethiopia,Male,40,No, 
100053,Ethiopia,Male,22,No, 
100054,Ethiopia,Male,20,No, 
100055,Ethiopia,Female,35,No, 
100056,Ethiopia,Male,35,No, 
100057,Ethiopia,Female,27,No, 
100058,Ethiopia,Male,40,No, 
100059,Ethiopia,Female,28,No, 
100060,Ethiopia,Male,40,No, 
100061,Ethiopia,Female,50,Don’t know, 
100062,Ethiopia,Female,25,Don’t know, 
100063,Ethiopia,Male,50,Don’t know, 
100064,Ethiopia,Female,20,No, 
100065,Ethiopia,Female,42,No, 
100066,Ethiopia,Female,20,Yes,Yes
100067,Ethiopia,Male,55,No, 
100068,Ethiopia,Female,24,No, 
100069,Ethiopia,Female,35,Don’t know, 
100070,Ethiopia,Male,26,No, 
100071,Ethiopia,Female,33,Don’t know, 
100072,Ethiopia,Male,54,No, 
100073,Ethiopia,Female,29,Yes,Yes
100074,Ethiopia,Female,30,Don’t know, 
100075,Ethiopia,Male,20,Don’t know, 
100076,Ethiopia,Male,24,No, 
100077,Ethiopia,Female,28,No, 
100078,Ethiopia,Female,45,Don’t know, 
100079,Ethiopia,Female,21,No, 
100080,Ethiopia,Female,18,No, 
100081,Ethiopia,Female,30,No, 
100082,Ethiopia,Female,31,Don’t know, 
100083,Ethiopia,Male,35,No, 
100084,Ethiopia,Male,45,Don’t know, 
100085,Ethiopia,Male,45,No, 
100086,Ethiopia,Female,25,No, 
100087,Ethiopia,Female,28,No, 
100088,Ethiopia,Male,30,Don’t know, 
100089,Ethiopia,Female,35,Don’t know, 
100090,Ethiopia,Male,20,Yes,No
100091,Ethiopia,Female,60,No, 
100092,Ethiopia,Female,45,No, 
100093,Ethiopia,Female,26,Don’t know, 
100094,Ethiopia,Female,30,Don’t know, 
100095,Ethiopia,Male,23,No, 
100096,Ethiopia,Male,29,No, 
100097,Ethiopia,Female,35,No, 
100098,Ethiopia,Male,28,No, 
100099,Ethiopia,Female,35,No, 
100100,Ethiopia,Female,38,No, 
100101,Ethiopia,Female,50,No, 
100102,Ethiopia,Male,45,No, 
100103,Ethiopia,Male,40,No, 
100104,Ethiopia,Female,60,Don’t know, 
100105,Ethiopia,Male,20,Yes,Yes
100106,Ethiopia,Male,43,Don’t know, 
100107,Ethiopia,Female,30,No, 
100108,Ethiopia,Female,47,No, 
100109,Ethiopia,Female,26,No, 
100110,Ethiopia,Male,45,Don’t know, 
100111,Ethiopia,Male,38,Don’t know, 
100112,Ethiopia,Female,23,Don’t know, 
100113,Ethiopia,Male,26,No, 
100114,Ethiopia,Male,24,Yes,Yes
100115,Ethiopia,Female,62,No, 
100116,Ethiopia,Male,25,Yes,Yes
100117,Ethiopia,Male,27,No, 
100118,Ethiopia,Male,52,No, 
100119,Ethiopia,Male,40,No, 
100120,Ethiopia,Female,22,No, 
100121,Ethiopia,Male,40,No, 
100122,Ethiopia,Male,20,No, 
100123,Ethiopia,Male,32,No, 
100124,Ethiopia,Female,27,Don’t know, 
100125,Ethiopia,Female,40,Don’t know, 
100126,Ethiopia,Male,65,Don’t know, 
100127,Ethiopia,Male,50,Don’t know, 
100128,Ethiopia,Male,25,Don’t know, 
100129,Ethiopia,Female,22,Don’t know, 
100130,Ethiopia,Male,30,No, 
100131,Ethiopia,Female,35,No, 
100132,Ethiopia,Male,28,Yes,Yes
100133,Ethiopia,Male,22,No, 
100134,Ethiopia,Female,25,No, 
100135,Ethiopia,Male,27,No, 
100136,Ethiopia,Female,36,No, 
100137,Ethiopia,Male,25,No, 
100138,Ethiopia,Male,25,No, 
100139,Ethiopia,Female,22,Yes,Yes
100140,Ethiopia,Male,27,Yes,Yes
100141,Ethiopia,Female,64,No, 
100142,Ethiopia,Female,27,No, 
100143,Ethiopia,Male,35,Yes,Yes
100144,Ethiopia,Male,23,No, 
100145,Ethiopia,Female,25,Yes,Yes
100146,Ethiopia,Female,20,No, 
100147,Ethiopia,Female,35,No, 
100148,Ethiopia,Male,40,No, 
100149,Ethiopia,Male,26,No, 
100150,Ethiopia,Female,35,No, 
100151,Ethiopia,Female,31,Yes,Yes
100152,Ethiopia,Female,40,No, 
100153,Ethiopia,Female,40,No, 
100154,Ethiopia,Female,30,No, 
100155,Ethiopia,Male,35,No, 
100156,Ethiopia,Male,30,No, 
100157,Ethiopia,Female,38,No, 
100158,Ethiopia,Male,19,No, 
100159,Ethiopia,Male,35,No, 
100160,Ethiopia,Male,23,No, 
100161,Ethiopia,Male,63,No, 
100162,Ethiopia,Female,26,Yes,No
100163,Ethiopia,Male,47,No, 
100164,Ethiopia,Male,63,No, 
100165,Ethiopia,Female,35,No, 
100166,Ethiopia,Male,32,No, 
100167,Ethiopia,Female,42,No, 
100168,Ethiopia,Male,23,No, 
100169,Ethiopia,Female,45,No, 
100170,Ethiopia,Female,32,No, 
100171,Ethiopia,Female,30,No, 
100172,Ethiopia,Male,26,No, 
100173,Ethiopia,Female,22,No, 
100174,Ethiopia,Female,23,No, 
100175,Ethiopia,Female,35,No, 
100176,Ethiopia,Female,45,No, 
100177,Ethiopia,Female,20,No, 
100178,Ethiopia,Male,24,No, 
100179,Ethiopia,Female,56,No, 
100180,Ethiopia,Female,25,No, 
100181,Ethiopia,Female,50,No, 
100182,Ethiopia,Female,20,Don’t know, 
100183,Ethiopia,Female,30,Don’t know, 
100184,Ethiopia,Female,23,No, 
100185,Ethiopia,Female,30,Don’t know, 
100186,Ethiopia,Female,20,No, 
100187,Ethiopia,Female,25,Don’t know, 
100188,Ethiopia,Female,60,Don’t know, 
100189,Ethiopia,Male,48,Don’t know, 
100190,Ethiopia,Female,24,No, 
100191,Ethiopia,Female,42,Don’t know, 
100192,Ethiopia,Female,45,No, 
100193,Ethiopia,Female,19,No, 
100194,Ethiopia,Female,18,No, 
100195,Ethiopia,Female,23,No, 
100196,Ethiopia,Male,35,No, 
100197,Ethiopia,Male,22,No,No
100198,Ethiopia,Male,26,No, 
100199,Ethiopia,Female,18,No, 
100200,Ethiopia,Male,20,No, 
100201,Ethiopia,Female,21,Don’t know, 
100202,Ethiopia,Female,30,Don’t know, 
100203,Ethiopia,Female,27,Don’t know, 
100204,Ethiopia,Male,24,Don’t know, 
100205,Ethiopia,Female,22,Don’t know, 
100206,Ethiopia,Female,49,Don’t know, 
100207,Ethiopia,Female,24,Don’t know, 
100208,Ethiopia,Female,20,Don’t know, 
100209,Ethiopia,Female,19,Don’t know, 
100210,Ethiopia,Male,27,Don’t know, 
100211,Ethiopia,Male,60,No, 
100212,Ethiopia,Male,58,No, 
100213,Ethiopia,Female,50,No, 
100214,Ethiopia,Male,45,No, 
100215,Ethiopia,Male,30,No, 
100216,Ethiopia,Female,28,No, 
100217,Ethiopia,Female,28,No, 
100218,Ethiopia,Male,32,No, 
100219,Ethiopia,Male,31,No, 
100220,Ethiopia,Male,32,No, 
100221,Ethiopia,Female,52,No, 
100222,Ethiopia,Male,20,No, 
100223,Ethiopia,Female,27,No, 
100224,Ethiopia,Male,27,No, 
100225,Ethiopia,Female,40,No, 
100226,Ethiopia,Female,23,Don’t know, 
100227,Ethiopia,Female,20,No, 
100228,Ethiopia,Male,57,No, 
100229,Ethiopia,Male,21,Yes,Yes
100230,Ethiopia,Female,38,No, 
100231,Ethiopia,Female,25,No, 
100232,Ethiopia,Male,35,No, 
100233,Ethiopia,Male,25,No, 
100234,Ethiopia,Female,60,Don’t know, 
100235,Ethiopia,Male,40,No, 
100236,Ethiopia,Male,29,No, 
100237,Ethiopia,Female,26,No, 
100238,Ethiopia,Male,48,No, 
100239,Ethiopia,Male,25,No, 
100240,Ethiopia,Female,30,No, 
100241,Ethiopia,Male,22,No, 
100242,Ethiopia,Male,20,No, 
100243,Ethiopia,Male,35,No, 
100244,Ethiopia,Male,35,Don’t know, 
100245,Ethiopia,Male,30,Don’t know, 
100246,Ethiopia,Female,40,Don’t know, 
100247,Ethiopia,Male,27,Yes,No
100248,Ethiopia,Male,40,No,No
100249,Ethiopia,Male,63,No, 
100250,Ethiopia,Male,50,No, 
100251,Ethiopia,Female,27,No, 
100252,Ethiopia,Male,46,No, 
100253,Ethiopia,Male,30,No, 
100254,Ethiopia,Female,40,No, 
100255,Ethiopia,Male,58,No, 
100256,Ethiopia,Male,50,No, 
100257,Ethiopia,Female,19,No, 
100258,Ethiopia,Female,18,No, 
100259,Ethiopia,Male,47,No, 
100260,Ethiopia,Female,18,No, 
100261,Ethiopia,Male,28,No, 
100262,Ethiopia,Female,31,No, 
